State,year,ev_station_count,Carbon monoxide,Ozone,PM2.5 - Local Conditions
NC,2014,21,0.2972961,0.0446703478260869,8.713395811494253
NC,2015,39,,0.0451073693181818,7.987957781862744
NC,2016,41,,0.04563790625,8.223501825949366
NC,2017,74,,0.04388731875,7.605090834415584
NC,2018,68,,0.043802875,7.464164585831062
NC,2019,85,,0.0454480855263157,7.625464858333332
NC,2020,97,,0.0391067105263157,6.764793641943734
NC,2021,259,,0.0426878486842105,7.741335299711815
NC,2022,237,,0.0433787828947368,7.067392457446808
NC,2023,388,,0.0456226554054054,8.780610452954049
ND,2015,1,,0.0435148636363636,5.50819579331307
ND,2017,2,,0.0416838125,5.840349816
ND,2018,9,,0.042874173076923,5.787028
ND,2019,7,,0.0402718,4.673070163398693
ND,2020,23,,0.0394970555555555,4.7082534597315435
ND,2021,19,,0.04334725,7.221527085820895
ND,2022,10,,0.0400873888888888,5.843629714285714
ND,2023,21,,0.0460950277777777,8.594332066666666
NE,2014,2,0.368755,0.0414795,8.000970928571428
NE,2015,5,,0.0420639423076923,7.657665076271186
NE,2016,15,,0.0415571,6.923628689999999
NE,2017,8,,0.03991245,7.536534731707317
NE,2018,6,,0.0391951,7.534251390243903
NE,2019,13,,0.03850545,6.437693841463415
NE,2020,19,,0.03680405,6.466548736486486
NE,2021,68,,0.0417273125,7.741976297029703
NE,2022,51,,0.0429443125,5.501756263636364
NE,2023,46,,0.047376125,7.614744362745098
NH,2014,11,0.17080425,0.0405414375,6.450031309859155
NH,2015,22,,0.0407761458333333,6.43831334
NH,2016,14,,0.0402655208333333,5.169176407407407
NH,2017,3,,0.0397890625,5.0587993984375
NH,2018,18,,0.0400207083333333,4.688408666666667
NH,2019,8,,0.03856675,4.3567233482142855
NH,2020,9,,0.0387942083333333,4.809528288135593
NH,2021,28,,0.0397919285714285,5.5862842666666666
NH,2022,45,,0.0395753333333333,4.819688937931035
NH,2023,49,,0.0414008863636363,5.8698986
NJ,2014,15,0.3542310833333333,0.0433717794117647,8.870835434782608
NJ,2015,14,,0.0452777021276595,9.078031207100592
NJ,2016,22,,0.0441640408163265,8.27203055378486
NJ,2017,28,,0.0413948529411764,8.154897614232208
NJ,2018,41,,0.0413348382352941,7.953303791044776
NJ,2019,72,,0.0430344264705882,7.895548671641791
NJ,2020,75,,0.0396785147058823,7.515144363984675
NJ,2021,163,,0.0415690147058823,8.516713319327732
NJ,2022,345,,0.0423903676470588,7.20425451953125
NJ,2023,356,,0.0440400833333333,8.676356824438201
NM,2014,5,0.21338725,0.0452145928571428,5.508188493333334
NM,2015,10,,0.0454822794117647,6.266359572649573
NM,2016,8,,0.0472371428571428,7.211662635135136
NM,2017,9,,0.0483411875,7.548198296296297
NM,2018,5,,0.0493637023809523,6.547604622641509
NM,2019,14,,0.0480602023809523,5.96462762962963
NM,2020,30,,0.0472567,6.97331108994709
NM,2021,54,,0.048108925,7.905903185185185
NM,2022,34,,0.04625275,6.808042317307692
NM,2023,77,,0.0464773095238095,6.082283294797689
NV,2014,26,0.35365285,0.0485433895348837,7.5361503524096385
NV,2015,20,,0.0474773657407407,7.218797819004524
NV,2016,14,,0.0474157708333333,7.432149606334842
NV,2017,23,,0.04768546875,6.757663810439561
NV,2018,19,,0.04849923125,7.461093926984128
NV,2019,38,,0.0468824895833333,5.40298562555066
NV,2020,33,,0.0468997888888888,7.534076978494624
NV,2021,144,,0.0485354772727272,7.775420161862527
NV,2022,96,,0.0473433076923076,6.265884597014925
NV,2023,118,,0.0481480462962963,5.215892837539433
NY,2014,28,0.2681844444444444,0.040158390625,7.477671520361991
NY,2015,88,,0.0413323984375,7.886729893877551
NY,2016,127,,0.0420557734375,6.588727567346939
NY,2017,130,,0.040499359375,6.656972977272727
NY,2018,158,,0.0408497338709677,6.977267567010309
NY,2019,282,,0.0406562109375,6.441423724852071
NY,2020,466,,0.0398100172413793,6.336548756756756
NY,2021,825,,0.0406776583333333,6.982092533557047
NY,2022,864,,0.040912375,6.239401477707006
NY,2023,764,,0.0418426517857142,8.117741162337662
OH,2014,20,0.2712023846153846,0.044117225490196,10.31945639256866
OH,2015,31,,0.0445461715686274,9.954805742589704
OH,2016,37,,0.0460320113636363,8.596676713850838
OH,2017,48,,0.0436134264705882,8.479395261146497
OH,2018,53,,0.0434743701923076,8.619803481434058
OH,2019,93,,0.0445695196078431,8.699847388335703
OH,2020,95,,0.0420957452830188,8.180660876201923
OH,2021,304,,0.0432810817307692,9.284084212290503
OH,2022,374,,0.0433342352941176,8.144936849821216
OH,2023,348,,0.0457817370689655,10.255925771961492
OK,2014,1,0.1613901666666666,0.04442871,8.759318829457364
OK,2015,5,,0.0431695520833333,7.925681372262773
OK,2016,3,,0.0436561666666666,7.753635089041096
OK,2017,17,,0.0439977592592592,8.160142
OK,2018,13,,0.04350581,8.366350024523161
OK,2019,34,,0.042981488095238,7.956663852830189
OK,2020,108,,0.0404915,8.029570013605442
OK,2021,35,,0.0438195595238095,9.741941238267149
OK,2022,40,,0.04699865625,8.293725635782748
OK,2023,44,,0.0481908977272727,8.773175180357143
OR,2014,16,0.3012245,0.03936825,8.079510606896552
OR,2015,39,,0.0424821818181818,8.56298180392157
OR,2016,67,,0.0369152045454545,6.2118451875
OR,2017,34,,0.0413892727272727,11.22763565
OR,2018,63,,0.0387287916666666,9.75485794117647
OR,2019,78,,0.03596965,8.492442731428572
OR,2020,85,,0.0366017954545454,14.002421746666666
OR,2021,181,,0.0405889,10.206545083333332
OR,2022,178,,0.0374177,10.314591040160645
OR,2023,280,,0.04058525,9.005180730103806
PA,2014,26,0.2356097222222222,0.0436194017857142,10.37153800351494
PA,2015,31,,0.0451393207547169,10.318122453590192
PA,2016,41,,0.0447906468531468,9.11911636672326
PA,2017,33,,0.0430586203703703,9.338934908794789
PA,2018,54,,0.0415674198113207,9.035560796969698
PA,2019,127,,0.0429925754716981,8.28795369736842
PA,2020,133,,0.0406632692307692,7.662449418989547
PA,2021,302,,0.0417306435185185,8.860754352766797
PA,2022,352,,0.0419846545454545,7.989945651675485
PA,2023,427,,0.0446397421875,9.792722281128944
RI,2014,4,0.4013495,0.0446391666666666,6.045556647058823
RI,2015,3,,0.0465232499999999,7.2451668705882355
RI,2016,2,,0.0447811944444444,6.3004852
RI,2017,3,,0.04205475,5.9018909892473115
RI,2018,29,,0.0435223333333333,6.452963922077922
RI,2019,19,,0.0451011666666666,5.509506144927536
RI,2020,27,,0.0419544375,6.585234971014493
RI,2021,94,,0.0423035,7.474455589743589
RI,2022,55,,0.0426713125,5.623140153846154
RI,2023,36,,0.0433109375,7.143985743589744
SC,2014,6,0.1567885,0.0416458571428571,9.1257728
SC,2015,18,,0.0414979047619047,7.976618406451613
SC,2016,8,,0.0434297717391304,8.277937529616725
SC,2017,24,,0.0413582368421052,7.798378455782313
SC,2018,23,,0.0437141842105263,7.220347574324324
SC,2019,24,,0.0432455,7.454823721428571
SC,2020,34,,0.037092734375,7.097577882352941
SC,2021,63,,0.0404475166666666,8.02666076635514
SC,2022,79,,0.04153195,7.503699591973244
SC,2023,153,,0.0437690166666666,8.589447527710844
SD,2014,1,0.1873865,0.0410909583333333,6.45394464084507
SD,2015,11,,0.045259,6.487132786764706
SD,2017,3,,0.0416470416666666,5.7371459140625
SD,2018,8,,0.0417507916666666,5.9360925546875
SD,2019,8,,0.0432492499999999,5.0139687421875
SD,2020,2,,0.0423655,5.470285896907217
SD,2021,10,,0.0427694375,7.47725143442623
SD,2022,15,,0.0443598928571428,4.928401134020619
SD,2023,28,,0.0455465357142857,7.327872309278351
TN,2014,20,0.2707665714285714,0.0445041041666666,9.105984836879433
TN,2015,18,,0.0435427407407407,8.436532620689656
TN,2016,36,,0.0470269347826086,8.388690319148937
TN,2017,30,,0.0443279782608695,7.559217488304093
TN,2018,28,,0.043735804347826,7.535166745454545
TN,2019,35,,0.0451527717391304,7.412288717325228
TN,2020,63,,0.0394877608695652,7.776385696165192
TN,2021,186,,0.0422394891304347,8.622451055214725
TN,2022,133,,0.0434749673913043,7.717338745398773
TN,2023,216,,0.0462951195652173,8.943953413793103
TX,2014,31,0.20318135,0.039764185064935,9.98255267017544
TX,2015,87,,0.0402407183333333,9.57244938576779
TX,2016,90,,0.0401064506578947,8.688214084942086
TX,2017,98,,0.0405597297297297,8.761239372781066
TX,2018,174,,0.0392369691780821,8.715225712962964
TX,2019,168,,0.0406828243243243,8.581929983122363
TX,2020,258,,0.039606634868421,8.804383045553145
TX,2021,593,,0.0404714868421052,8.869715153703703
TX,2022,668,,0.0420056962025316,8.77674231420765
TX,2023,670,,0.0429920308219178,9.224443929912391
UT,2014,13,0.4822626666666667,0.0536151301369863,7.079328859296482
UT,2015,22,,0.0535330571428571,7.052003667613636
UT,2016,4,,0.05222508,7.029276824427481
UT,2017,17,,0.0472033888888888,7.88708523756906
UT,2018,60,,0.0490018529411764,7.61879785
UT,2019,65,,0.0458940073529411,6.0617594154302665
UT,2020,112,,0.0457195583333333,7.612949666666666
UT,2021,276,,0.0475124375,8.506725064971752
UT,2022,115,,0.0461655909090909,7.120691304477612
UT,2023,123,,0.0470914296875,7.001781046391752
VA,2014,22,0.2736927142857143,0.0437752291666666,8.192573095238096
VA,2015,54,,0.0440421346153846,8.12014863841808
VA,2016,63,,0.0429698152173913,7.238908464454976
VA,2017,66,,0.0428030108695652,7.21731931372549
VA,2018,83,,0.0410574456521739,6.890257215686274
VA,2019,86,,0.0437812173913043,7.077791584615385
VA,2020,114,,0.0381988229166666,6.383142813793103
VA,2021,254,,0.0414716739130434,7.502185110032362
VA,2022,238,,0.0412384130434782,6.887551687861272
VA,2023,377,,0.0438648586956521,8.230746793774319
VT,2014,18,0.19534125,0.0404877499999999,6.573550795180724
VT,2015,20,,0.04194725,7.111595032608696
VT,2016,24,,0.04017475,4.98361952173913
VT,2017,17,,0.03851375,5.013493964285714
VT,2018,31,,0.03939925,5.72546073
VT,2019,28,,0.0383735833333333,5.446487836956522
VT,2020,27,,0.0386837499999999,5.499128326086956
VT,2021,75,,0.0375064166666666,5.914306663043479
VT,2022,60,,0.0387735833333333,5.34022711
VT,2023,49,,0.0396873333333333,6.229544398809524
WA,2014,40,,0.036788375,7.1734121
WA,2015,61,,0.0411579558823529,8.101568242857143
WA,2016,58,,0.0360142142857142,6.916168114068441
WA,2017,74,,0.0401616785714285,8.526278886877828
WA,2018,96,,0.0383379642857142,8.400258352941178
WA,2019,124,,0.035456923076923,7.170854733870967
WA,2020,157,,0.035851423076923,9.389409905660376
WA,2021,421,,0.0399725416666666,7.3184347215189876
WA,2022,293,,0.0376740714285714,8.317541022624434
WA,2023,482,,0.03918325,7.255914534782609
WI,2014,35,,0.0418591166666666,8.14847625
WI,2015,17,,0.0425068548387096,7.553938208333334
WI,2016,16,,0.0418092903225806,6.684426416666667
WI,2017,17,,0.0421312177419354,6.469443816711591
WI,2018,20,,0.0430638548387096,7.42728156580938
WI,2019,36,,0.0397739354838709,6.911487859960553
WI,2020,33,,0.0404519274193548,6.853213849514563
WI,2021,93,,0.0436526875,8.040692324200913
WI,2022,120,,0.0418482741935483,6.733966322195704
WI,2023,126,,0.0469089516129032,9.27493867032967
WV,2014,4,,0.043382875,9.495410375
WV,2015,4,,0.04411595,9.547026
WV,2016,4,,0.043661275,8.340085906976743
WV,2017,37,,0.0416518249999999,8.131591627906976
WV,2018,5,,0.04032835,7.95865692248062
WV,2019,2,,0.0429152954545454,8.080694782945736
WV,2020,6,,0.03946455,7.087359286821706
WV,2021,8,,0.04077755,8.865820597315436
WV,2022,27,,0.0406240249999999,7.756532543624162
WV,2023,20,,0.0440654722222222,9.32549333939394
WY,2014,7,,0.0477095689655172,4.292303302325582
WY,2015,9,,0.0479561048387096,4.886508978947369
WY,2016,4,,0.0467093571428571,4.394296477777777
WY,2017,12,,0.0488179396551724,5.118904181063122
WY,2018,8,,0.0475898225806451,4.714178877976191
WY,2019,5,,0.0476609642857142,3.5727814150943393
WY,2020,2,,0.0476576968085106,4.376373578651686
WY,2021,4,,0.0500296538461538,5.541606579775281
WY,2022,16,,0.0472917599999999,3.816861603351955
WY,2023,21,,0.0488386634615384,3.951170531986532
