State,year,Carbon monoxide,Ozone,PM2.5 - Local Conditions
DE,2014,0.236395,0.04471646428571429,8.982317009708739
DE,2015,,0.046473714285714285,8.858046475728155
DE,2016,,0.045848321428571426,7.709666267857143
DE,2017,,0.043603107142857145,7.3797353125
DE,2018,,0.042049249999999996,7.206687935828877
DE,2019,,0.04475185714285714,7.271205037500001
DE,2020,,0.040025821428571424,6.781197492957746
DE,2021,,0.04259335714285715,7.557150422535211
DE,2022,,0.04340892857142857,6.615159666666666
DE,2023,,0.045530888888888885,8.7552841292517
FL,2014,0.23646270833333335,0.03974871610169491,6.930956418181819
FL,2015,,0.0371686313559322,6.514762507204611
FL,2016,,0.03897424568965518,6.802039223463686
FL,2017,,0.03823064655172414,7.643005149253731
FL,2018,,0.03756043965517241,6.951623632458234
FL,2019,,0.03812873275862069,6.899000329931972
FL,2020,,0.03580889406779661,7.369338468
FL,2021,,0.03648621186440678,7.101623635208711
FL,2022,,0.0378215948275862,7.029707592105264
FL,2023,,0.03977119736842105,7.161842462462462
GA,2014,0.370226875,0.04273740476190476,10.184179805653711
GA,2015,,0.041301333333333336,9.051912568376068
GA,2016,,0.045634666666666664,8.988670623931624
GA,2017,,0.041465787500000004,8.898808696
GA,2018,,0.04100032894736842,8.023554505263158
GA,2019,,0.04386571052631579,8.835837356294537
GA,2020,,0.03658644736842105,8.148372927318295
GA,2021,,0.03966567105263158,9.426730011450381
GA,2022,,0.04100447368421053,8.658978453860641
GA,2023,,0.0441753552631579,9.862372649944259
HI,2014,0.3524686666666667,0.027880625,6.3895526785714285
HI,2015,,0.028887125,6.758572217213115
HI,2016,,0.0298615,7.880335008196722
HI,2017,,0.029986625,6.1654801106557375
HI,2018,,0.02999975,5.809691312267658
HI,2019,,0.028967375,2.5659389516728623
HI,2020,,0.026593125,2.708745653429603
HI,2021,,0.027706,2.949029755319149
HI,2022,,0.027311750000000003,3.4293440324074074
HI,2023,,0.027460375,3.2905970185185187
IA,2014,0.20770866666666668,0.04087525833333334,9.469511384615386
IA,2015,,0.04088355,8.434786461538462
IA,2016,,0.040019491666666664,7.421844212389381
IA,2017,,0.041269475,7.345507151020408
IA,2018,,0.040991458333333335,8.112184843049327
IA,2019,,0.04005925,7.882077796116505
IA,2020,,0.038335062499999996,7.989864935064936
IA,2021,,0.04171205208333333,8.456910574660634
IA,2022,,0.04115026041666667,7.511652555555556
IA,2023,,0.04647776041666667,10.161942920110192
ID,2014,0.281292,0.049646666666666665,9.8837690989011
ID,2015,,0.0489046,8.880996186813187
ID,2016,,0.048713799999999995,7.7751528
ID,2017,,0.0471943125,9.171709097457626
ID,2018,,0.04178909375,8.257078435643564
ID,2019,,0.0381489375,8.295937842975206
ID,2020,,0.0454635,8.309174741293532
ID,2021,,0.04824916666666666,8.70345
ID,2022,,0.04803235714285714,8.894536523809524
ID,2023,,0.04798542857142857,7.687639136363637
IL,2014,0.23261999999999997,0.04300015540540541,10.844605801223242
IL,2015,,0.04322669594594595,10.029168307812501
IL,2016,,0.04411798648648648,8.69299820300752
IL,2017,,0.044595473684210525,8.7051038025
IL,2018,,0.043825006756756754,9.297797717451523
IL,2019,,0.043361506756756756,9.084839986486486
IL,2020,,0.0415369358974359,8.779653405405405
IL,2021,,0.04341575,9.320956675373134
IL,2022,,0.042988124999999995,8.634098205930808
IL,2023,,0.04784828125,9.351649483588622
IN,2014,0.37047108333333334,0.04471735869565218,11.396153401384082
IN,2015,,0.04351123369565217,9.95010203618421
IN,2016,,0.0451948488372093,8.646717487712666
IN,2017,,0.043655931818181816,8.447391013916501
IN,2018,,0.04274739880952381,8.996615005484461
IN,2019,,0.043236898809523805,9.062584416826004
IN,2020,,0.0408856923076923,8.6248685267423
IN,2021,,0.04270697435897436,9.603700218411554
IN,2022,,0.04320015131578948,8.760881190293743
IN,2023,,0.04596653205128205,10.069142659574469
KS,2014,0.2660155,0.04638138333333333,8.966299999999999
KS,2015,,0.044056431818181814,7.752043545454546
KS,2016,,0.04407394230769231,6.8100810813008135
KS,2017,,0.04268402777777777,7.813814551181102
KS,2018,,0.04323202777777778,8.066808684210526
KS,2019,,0.04203222222222222,8.002371775
KS,2020,,0.04055175,7.513022242774567
KS,2021,,0.043602388888888885,9.716021696202532
KS,2022,,0.045656333333333333,8.599241375886525
KS,2023,,0.048259611111111114,8.241397114864865
KY,2014,0.321153125,0.04417193548387097,10.557811919003115
KY,2015,,0.04347445673076923,9.386994794202899
KY,2016,,0.04378330833333333,8.328173511848341
KY,2017,,0.042899233333333335,8.216139852398523
KY,2018,,0.04210283333333333,8.358168358208955
KY,2019,,0.043942086206896554,8.203924102608696
KY,2020,,0.03948820689655172,7.558752656387665
KY,2021,,0.041443603448275856,8.957114366666666
KY,2022,,0.043198,7.893187473815462
KY,2023,,0.045822743243243244,8.56344741495778
LA,2014,0.26346250000000004,0.038405729166666666,8.461932928104575
LA,2015,,0.03870117045454546,8.694529482758622
LA,2016,,0.03981301136363636,8.295277551724139
LA,2017,,0.03856308333333334,8.452456020689656
LA,2018,,0.03788489772727272,8.552131648275862
LA,2019,,0.038261363636363635,8.204683875862068
LA,2020,,0.03630484027777778,7.844254882758621
LA,2021,,0.03701744318181818,7.680998695121952
LA,2022,,0.039505375,8.396882651376147
LA,2023,,0.04166925735294118,8.900698029545454
MA,2014,0.25942535714285714,0.04088859210526316,6.235457286956522
MA,2015,,0.042070375,6.342684604938272
MA,2016,,0.0431299,6.017269954022988
MA,2017,,0.04168665625,5.969779034482758
MA,2018,,0.04117416176470588,6.140164637010677
